ID,Aspect Ratio,CSFD exponent,Dispersion [m],Effective Diameter [m],Large Crater Fraction,Maximum Diameter [m],Median Diameter [m],Minimum Diameter [m],No. of Craters,No. of Large Craters
ESP_063979_2280,0.66068524,-1.147641477,44.86979765,10.5471328,0.307692308,7.374662399,2.72410965,1.016187668,13,4
ESP_064450_2250,1,0,14.47548955,5.250495082,0.75,4.340235,3.073003,1.358246,4,3
ESP_064646_1975,0.207397559,-1.862529687,17.4494242,3.268678413,0.8,2.607328,1.508429,1.169085,5,4
ESP_064651_1865,1,0,488.5524036,3.260629111,0.333333333,3.096563,1.4205,1.282143,3,1
ESP_064681_1915,0.331214037,-1.432179934,97.26776209,14.25454159,0.066666667,11.176302,1.7243815,1.122656,30,2
ESP_064686_2090,0.845615552,-1.984882359,71.28645337,12.75447196,0.092783505,7.694881,1.621811,1.00713,97,9
ESP_064687_2045,1,0,51.08754857,2.840480583,1,2.523134232,1.527807236,1.487140656,3,3
ESP_064721_1710,0.381106081,-0.981013722,16.55565352,12.48269203,0.125,12.191963,2.3097515,1.417158,8,1
ESP_064728_2030,0.316697789,-1.802268847,3.176754165,3.441674593,0.8,2.491708755,1.940044403,1.195703506,5,4
ESP_064738_1855,0.461247784,-2.363011874,53.291428,9.068322141,0.075949367,5.933102,1.35582,1.005713,79,6
ESP_064740_1760,0.640546687,-1.645509682,46.23407272,6.07696503,0.5,3.827427,1.8750025,1.007122,16,8
ESP_064747_2065,0.688751854,-2.302538648,53.44594406,4.780217445,0.315789474,2.905357,1.270983,1.049486,19,6
ESP_064760_1795,0.168724902,-2.77027353,49.33135808,3.020810034,0.75,2.235167,1.3250465,1.058834,8,6
ESP_064783_1920,0.397037733,-0.95070991,77.10229855,18.15140542,0.142857143,17.424936,3.38854,2.582808,7,1
ESP_064826_1900,0.044175544,-1.618961971,117.9612207,4.068110529,0.125,3.715914,1.2504995,1.048574,8,1
ESP_064833_2190,0.460461744,-1.43104263,79.02541574,11.02858477,0.214285714,8.084755,2.6656695,1.254791,14,3
ESP_064852_1890,0.355723186,-1.495251502,100.5245573,4.423718695,0.375,3.587811,1.440665,1.012609,8,3
ESP_064880_1920,1,0,47.83588576,2.824627003,0.666666667,2.447412,1.887257,1.04916,3,2
ESP_065189_1700,0.022484282,-1.468064063,62.84350634,4.710505373,0.5,3.735275,1.819061,1.31566,6,3
ESP_065222_2095,0.333135016,-2.451188396,34.66832535,4.84736053,0.666666667,2.774424,1.4577515,1.011415,18,12
ESP_065340_1890,0.703187676,-2.396064722,98.10546209,6.861374817,0.189189189,4.307812,1.564425,1.027634,37,7
ESP_065347_1830,0.441511821,-1.264737079,152.3943959,8.659296422,0.285714286,6.889187,1.842881,1.045055,14,4
ESP_065387_1805,0.748997163,-2.106271364,101.1434956,11.92534039,0.146666667,6.452143,1.965223,1.007521,75,11
ESP_065464_1770,0.6685719,-1.627344078,163.7290482,9.1637044,0.15625,5.98782,1.558238,1.024504,32,5
ESP_065476_1830,0.295348505,-1.126113508,30.98822407,6.513166209,0.8,4.31357193,4.01531601,1.752634048,5,4
ESP_065478_1820,0.143516285,-0.724106091,54.58335931,15.62135274,0.4,12.427595,3.354202,2.32514,5,2
ESP_065490_2000,0.483131667,-2.282524622,21.44509982,5.320832447,0.55,3.076979,1.664031,1.015829,20,11
ESP_065709_1820,1,0,125.2287545,1.608865781,1,1.438452,1.2487935,1.059135,2,2
ESP_065746_1880,0.482217043,-2.110934349,107.6543337,3.404274711,0.833333333,2.498978,1.674901,1.081509,6,5
ESP_065754_1820,0.484655448,-2.028592843,212.7750829,15.54059715,0.016129032,15.004723,1.4729175,1.009224,62,1
ESP_065775_2000,0.420471752,-1.264406671,31.0768368,6.040158671,0.181818182,4.609657,1.194719,1.060551,11,2
ESP_065843_1775,0.427988125,-1.198729391,68.66875035,20.83785224,0.073170732,16.287207,2.826027,1.031719,41,3
ESP_066018_1765,0.326033994,-1.930215281,12.59179354,4.944176359,0.555555556,3.796957016,1.944889069,1.360280991,9,5
ESP_066062_1945,1,0,95.14204764,3.648101886,1,3.440222,2.7132235,1.986225,2,2
ESP_066123_1905,0.503893178,-1.827730882,94.01225718,4.008141226,0.222222222,3.423124,1.495396,1.005589,9,2
ESP_066176_1790,0.308368522,-2.97262872,92.12321085,4.109761869,0.923076923,2.269842,1.661737,1.100508,13,12
ESP_066480_1970,0.772552713,-2.116182697,57.05299111,10.30646114,0.059701493,7.204416275,1.438983917,1.013479233,67,4
ESP_066493_2090,0.287326963,-1.571414554,131.3519131,5.562196803,0.8,4.124611,3.192616,1.749578,5,4
ESP_066528_1890,1,0,107.1424663,4.471594101,0.333333333,4.398947,1.294939,1.283806,3,1
ESP_066533_1895,0.673278456,-1.477124824,37.84845743,7.411881811,0.411764706,4.419527,2.10894,1.022207,17,7
ESP_066550_1925,0.709687991,-1.045742153,73.37618851,8.397609213,0.416666667,6.092533,2.127575,1.045094,12,5
ESP_066551_1300,1,0,10.19680338,2.075597092,1,1.729935,1.642793,1.555651,2,2
ESP_066559_2085,1,0,36.3293099,5.546409886,0.25,5.438995361,1.533784866,1.357925415,4,1
ESP_066585_1805,1,0,61.71856604,4.099913111,1,3.041786,3.005339,2.388615,3,3
ESP_066594_1915,1,0,17.97604096,2.452710546,1,2.296194077,1.83986187,1.383529663,2,2
ESP_066598_2020,0.713015499,-1.706762764,78.57301369,7.248355829,0.181818182,5.01503,1.664159,1.007294,22,4
ESP_066633_1770,1,0,36.31462688,3.273312633,1,2.875046,2.5597745,2.244503,2,2
ESP_066902_1830,0.750656285,-1.967937119,66.74850867,11.35782677,0.078947368,7.094646,1.6074,1.006927,76,6
ESP_066968_1755,0.702649806,-1.542133463,77.59649224,7.145331044,0.2,5.843811,1.790169,1.066641,15,3
ESP_067034_2015,0.435532596,-0.982992714,69.28409233,5.313651261,0.333333333,4.494928,1.347619,1.044937,6,2
ESP_067073_2060,0.704440373,-2.136016309,109.2264208,7.960959909,0.125,5.533733,1.4785975,1.000685,40,5
ESP_067126_1760,0.360185247,-1.352788415,37.66373389,5.66797015,0.25,5.125729,1.7932885,1.01792,8,2
ESP_067179_1755,0.805822801,-1.882470437,42.58018306,9.720541361,0.090909091,7.226274,1.5986855,1.045082,44,4
ESP_067192_1905,0.660104827,-2.599361847,59.18496471,5.638698843,0.222222222,3.659365,1.448069,1.007063,27,6
ESP_067245_2095,1,0,10.88078458,4.812586998,0.5,4.481831,2.05812,1.131435,4,2
ESP_067306_1890,0.612132594,-2.031833196,52.08245522,4.335811574,0.555555556,2.998739,1.643192,1.215845,9,5
ESP_067311_1795,0.532315617,-1.151540891,35.92201179,8.506770164,0.083333333,8.075884,1.331585,1.004051,12,1
ESP_067319_2070,1,0,1.700961706,1.936883217,1,1.848532,1.4157355,0.982939,2,2
ESP_067325_1685,0.115170874,-0.776115275,24.62203253,7.794249131,0.6,6.154358,3.417341,1.088568,5,3
ESP_067377_1750,0.436865957,-1.804486575,314.8580386,9.061733061,0.277777778,6.136215,2.3120315,1.467236,18,5
ESP_067390_1755,0.152500195,-0.765733739,25.49231046,6.3366493,0.6,5.181004,3.571489,1.100281,5,3
ESP_067438_1805,0.468870203,-1.59324113,14.87191303,4.421696682,0.833333333,3.02523,2.4117415,1.191095,6,5
ESP_067469_1740,0.480748209,-1.476679524,60.4963105,7.081784661,0.375,4.810289,2.0743865,1.007689,16,6
ESP_067543_2045,0.351559816,-2.482513542,59.69674831,4.111053126,0.6,2.899986,1.5955445,1.228615,10,6
ESP_067781_2105,0.407375733,-1.758032408,18.51125297,3.173543521,0.8,2.400822,1.604252,1.027166,5,4
PSP_002736_2075,0.60542754,-1.487409084,30.43175925,16.76334127,0.034482759,16.408886,1.774429,1.128239,29,1
PSP_002764_1800,0.54313894,-0.7878582,113.8085866,29.313199,0.222222222,23.784451,2.797079,1.076246,18,4
PSP_003172_1870,0.451790393,-2.188257546,310.0377282,36.81389196,0.003856041,16.650751,1.52615,0.999802,2334,9
PSP_003527_1940,0.532061876,-1.489330642,85.28460962,16.84765648,0.044444444,13.968044,1.78363,1.036749,45,2
PSP_003602_2085,0.705298786,-1.219101188,53.43321888,17.72728708,0.083333333,15.786545,4.6249765,1.627321,12,1
PSP_003674_1855,1,0,14.46525904,10.60545941,0.5,9.970693588,4.047182083,2.584747314,4,2
PSP_003780_2000,1,0,36.19896116,10.60860162,0.333333333,10.202377,4.980425,2.035217,3,1
PSP_003925_1940,0.764616419,-1.314306962,45.99117344,18.57858273,0.212765957,10.591566,2.181206,1.117613,47,10
PSP_004038_2005,0.218063441,-0.760077536,49.70459838,22.61942386,0.2,22.39988518,4.557006836,3.967535019,5,1
PSP_004123_1915,0.323933589,-1.43596196,83.41329114,9.884990622,0.166666667,8.4,2.305,1.06,18,3
PSP_004770_1710,0.139014511,-0.838601549,62.03159847,16.3158587,0.222222222,14.38,5.04,1.35,9,2
